,ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin
355,2016000072,"17,103.00","6,500.00","12,145.00","11,458.00","23,537.00",2018
356,2016000078,"11,622.00","26,700.00","13,922.00","10,200.00","38,190.00",2018
357,2016000045,"14,300.00","7,500.00","7,500.00","14,300.00","21,722.00",2018
359,2018000058,"10,995.00","12,500.00","14,845.00","8,650.00","23,365.00",2018
360,2018000118,"3,500.00","18,850.00","18,850.00","3,500.00","21,654.00",2018
361,2016000024,"23,729.00","7,500.00","13,595.00","17,634.00","31,151.00",2018
363,2018000057,"6,048.00","3,750.00","6,798.00","3,000.00","9,759.00",2018
364,2018000004,"8,595.00","12,500.00","18,595.00","2,500.00","20,963.00",2018
365,2016000009,"6,500.00","7,500.00","7,500.00","6,500.00","13,922.00",2018
367,2018000060,"5,000.00","38,625.00","38,625.00","5,000.00","42,157.00",2018
368,2017000030,"25,351.00","12,500.00","18,595.00","8,500.00","37,719.00",2018
369,2017000058,"8,500.00","34,775.00","34,775.00","8,500.00","42,039.00",2018
370,2016000065,"14,170.00","12,500.00","18,445.00","8,225.00","26,540.00",2018
371,2017000107,"16,879.00","12,500.00","13,245.00","16,134.00","29,247.00",2018
373,2018000108,"30,654.00","1,750.00","7,095.00","16,225.00","32,386.00",2018
374,2017000085,"19,179.00","9,500.00","15,595.00","13,084.00","28,581.00",2018
375,HA9161964,"8,166.33","12,337.00","12,337.00","8,166.33","20,101.33",2018
376,2017000052,"8,000.00","12,500.00","12,500.00","8,000.00","20,368.00",2018
377,2018000102,"10,345.00","12,500.00","15,845.00","7,000.00","22,713.00",2018
378,2018000104,"18,095.00","11,400.00","17,495.00","12,000.00","29,189.00",2018
380,2018000103,"15,148.50","6,500.00","11,071.50","6,035.00","18,365.50",2018
381,2018000014,"10,225.00","6,500.00","6,500.00","10,225.00","16,659.00",2018
382,2018000031,"11,700.00","31,925.00","31,925.00","11,700.00","42,507.00",2018
383,2016000018,"5,373.83","3,646.00","5,801.00","3,218.83","8,983.83",2018
384,2016000004,"12,351.00","5,250.00","8,298.00","9,303.00","17,549.00",2018
385,2018000012,"7,000.00","20,500.00","20,500.00","7,000.00","26,808.00",2018
387,HO1378856,"15,395.00","12,500.00","18,145.00","9,750.00","27,763.00",2018
388,2016000023,"12,445.00","7,500.00","11,945.00","8,000.00","19,867.00",2018
389,2017000042,"7,200.00","38,075.00","38,075.00","7,200.00","43,899.00",2018
390,2018000097,"15,495.00","7,500.00","11,445.00","11,550.00","22,917.00",2018
393,2017000104,"8,047.00","6,250.00","9,297.00","5,000.00","14,231.00",2018
394,2017000094,"11,595.00","12,500.00","18,595.00","5,500.00","23,963.00",2018
395,2016000022,"9,792.00","8,625.00","5,625.00","9,792.00","18,361.00",2018
397,2016000020,"10,281.75","7,500.00","7,500.00","10,281.75","17,703.75",2018
398,2018000076,"10,000.00","5,500.00","5,500.00","10,000.00","15,444.00",2018
399,2017000066,"15,095.00","12,500.00","18,595.00","9,000.00","27,463.00",2018
400,2017000078,"7,050.00","31,500.00","6,500.00","7,050.00","38,484.00",2018
401,2017000061,"6,000.00","37,275.00","37,275.00","6,000.00","41,897.00",2018
402,JO9257474,"16,250.00","20,500.00","7,500.00","13,750.00","36,672.00",2018
403,JU7739505,"18,904.25","17,500.00","12,833.00","13,571.25","36,326.25",2018
