ID,Grants,Loans,Federal,Institutional,Net_Total,YearBegin,YearCat
HO1378856,15395.0,12500.0,18145.0,9750.0,27763.0,2018,2
2016000023,12445.0,7500.0,11945.0,8000.0,19867.0,2018,2
2017000042,7200.0,38075.0,38075.0,7200.0,43899.0,2018,2
2018000097,15495.0,7500.0,11445.0,11550.0,22917.0,2018,2
2017000104,8047.0,6250.0,9297.0,5000.0,14231.0,2018,2
2017000094,11595.0,12500.0,18595.0,5500.0,23963.0,2018,2
2016000022,9792.0,8625.0,5625.0,9792.0,18361.0,2018,2
2016000020,10281.75,7500.0,7500.0,10281.75,17703.75,2018,2
2018000076,10000.0,5500.0,5500.0,10000.0,15444.0,2018,2
2017000066,15095.0,12500.0,18595.0,9000.0,27463.0,2018,2
2017000078,7050.0,31500.0,6500.0,7050.0,38484.0,2018,2
2017000061,6000.0,37275.0,37275.0,6000.0,41897.0,2018,2
JO9257474,16250.0,20500.0,7500.0,13750.0,36672.0,2018,2
JU7739505,18904.25,17500.0,12833.0,13571.25,36326.25,2018,2
KA1668942,21243.0,12500.0,18595.0,15148.0,33611.0,2018,2
KE3577486,10548.0,0.0,3048.0,7500.0,10548.0,2018,2
2016000080,12745.0,30530.0,36275.0,7000.0,42217.0,2018,2
2018000023,7500.0,35525.0,35525.0,7500.0,41689.0,2018,2
2017000108,25851.0,15500.0,19845.0,10750.0,40903.0,2018,2
2016000079,14295.0,28980.0,35075.0,8200.0,42283.0,2018,2
2017000080,9725.0,17652.0,17652.0,9725.0,26865.0,2018,2
2018000066,15195.0,6500.0,12545.0,9150.0,21629.0,2018,2
2017000009,6700.0,18946.0,7500.0,6700.0,25568.0,2018,2
2016000012,8000.0,18474.0,7500.0,8000.0,26396.0,2018,2
2017000025,23179.0,12500.0,18595.0,17084.0,35547.0,2018,2
2017000089,11095.0,25000.0,18595.0,5000.0,35965.0,2018,2
2019000009,6150.0,6400.0,6400.0,6150.0,12484.0,2018,2
2018000017,9295.0,5500.0,7745.0,7050.0,14739.0,2018,2
2018000111,28404.0,0.0,6095.0,13225.0,28404.0,2018,2
2016000073,14095.0,12500.0,18595.0,8000.0,26463.0,2018,2
2016000010,5250.0,2813.0,2813.0,5250.0,8035.0,2018,2
2018000030,19129.0,6500.0,9545.0,7000.0,25563.0,2018,2
2016000036,19745.0,12500.0,18595.0,13650.0,32115.0,2018,2
2017000075,10000.0,36275.0,36275.0,10000.0,42067.0,2018,2
2018000082,9623.0,2750.0,5798.0,6575.0,12345.0,2018,2
2018000075,8500.0,21500.0,21500.0,8500.0,29296.0,2018,2
2018000015,21034.0,5500.0,5500.0,11450.0,26478.0,2018,2
2018000100,15745.0,27880.0,31625.0,12000.0,42619.0,2018,2
2016000005,11832.42,12500.0,17072.0,7260.42,24200.42,2018,2
2018000093,7050.0,19870.0,19870.0,7050.0,26253.0,2018,2
2017000012,11500.0,8500.0,8500.0,11500.0,19848.0,2018,2
2016000071,25851.0,7500.0,13595.0,9000.0,33273.0,2018,2
2018000063,11045.0,16500.0,18345.0,9200.0,27055.0,2018,2
2017000077,13063.33,12500.0,15459.0,10104.33,25431.33,2018,2
2018000038,11745.0,20500.0,16245.0,6000.0,32137.0,2018,2
2018000069,21095.0,14000.0,20095.0,15000.0,34741.0,2018,2
018000007,16584.0,25500.0,25500.0,16584.0,41240.0,2018,2
2018000049,16320.0,12500.0,18595.0,10225.0,28688.0,2018,2
2018000062,26929.0,5500.0,11595.0,20834.0,29651.0,2018,2
2017000068,9000.0,27900.0,27900.0,9000.0,35924.0,2018,2
2018000036,10225.0,25275.0,25275.0,10225.0,34602.0,2018,2
2017000083,8795.0,7500.0,9245.0,7050.0,16217.0,2018,2
2018000047,11367.67,2750.0,3309.0,6266.67,14089.67,2018,2
2016000061,4059.67,5209.0,6352.0,2916.67,9214.67,2018,2
2018000007,25154.0,5500.0,11345.0,10225.0,30598.0,2018,2
2018000024,13773.0,24980.0,27103.0,11650.0,27137.0,2018,2
2018000033,10725.0,24800.0,6500.0,10725.0,35459.0,2018,2
2017000047,25266.0,7500.0,7500.0,7175.0,32688.0,2018,2
2017000105,21129.0,5500.0,10545.0,16084.0,26573.0,2018,2
2016000013,14699.39,14500.0,18827.0,10372.39,28827.39,2018,2
2018000044,9300.0,7500.0,7500.0,9300.0,16722.0,2018,2
2018000043,16245.0,5000.0,8945.0,12300.0,21193.0,2018,2
2016000043,8384.5,7500.0,9522.0,6362.5,15806.5,2018,2
2018000106,24479.0,5500.0,10245.0,10650.0,29923.0,2018,2
2018000099,19517.0,9500.0,15595.0,11750.0,28919.0,2018,2
2016000007,17795.0,27300.0,18595.0,11700.0,44963.0,2018,2
2018000083,9422.0,2750.0,2750.0,9422.0,12144.0,2018,2
2018000009,11350.0,5500.0,5500.0,11350.0,16794.0,2018,2
2018000013,15617.0,5500.0,10045.0,9400.0,21061.0,2018,2
2018000078,5325.0,17100.0,17100.0,4575.0,15419.0,2018,2
2018000098,17795.0,5500.0,11545.0,11750.0,23239.0,2018,2
2017000087,5000.0,31500.0,31500.0,5000.0,35400.0,2018,2
2018000064,7500.0,33500.0,33500.0,7500.0,42297.0,2018,2
2018000080,15045.0,14750.0,13545.0,9000.0,29717.0,2018,2
2018000084,10123.0,8750.0,11798.0,7075.0,18622.0,2018,2
2018000034,23929.0,0.0,5245.0,9600.0,23929.0,2018,2
2017000082,11095.0,32180.0,38275.0,5000.0,42145.0,2018,2
RU1751715,25885.0,6500.0,12595.0,19790.0,32317.0,2018,2
2018000094,10895.0,9500.0,13345.0,7050.0,20297.0,2018,2
2018000121,0.0,21688.0,21688.0,0.0,20978.0,2018,2
2017000101,8000.0,16563.0,16563.0,8000.0,24069.0,2018,2
2018000074,2047.2,0.0,1524.0,523.2,2047.2,2018,2
2018000006,16745.0,26530.0,29175.0,14100.0,34642.9,2018,2
2018000089,14789.0,4500.0,7373.0,6538.0,15533.0,2018,2
2018000090,23295.0,12500.0,18595.0,17200.0,35507.0,2018,2
2018000027,16595.0,5500.0,11595.0,8500.0,22039.0,2018,2
2018000032,22470.0,0.0,6095.0,16375.0,22470.0,2018,2
2018000119,8048.0,0.0,3048.0,5000.0,8048.0,2018,2
2018000020,20634.0,5500.0,5500.0,11550.0,26078.0,2018,2
2018000028,9150.0,34475.0,34475.0,9150.0,42335.0,2018,2
2018000053,7000.0,7500.0,7500.0,7000.0,14422.0,2018,2
